Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
||2|5054390601113|Fox and Floral Print Top|GEM321328 |£8.00|"Ace that fantastical style with this gorgeous fox and floral print top. This stunning top combines a pretty print with a relaxed cut, ensuring you’ll feel comfy and beautiful time and again with this piece.

•  Dipped hem
•  Short sleeve"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054390169712|Floral Crochet Kimono|GEM321275 |£8.00|"Pretty and a fabulously feminine cover-up, this beautiful floral crochet kimono is a stylish must-have. This year-round piece is perfect for acing that on-trend layered look.

•  Open front
•  Cropped sleeve"|8-10, 12-14, 16-18,20-22|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054390169675|Floral Crochet Kimono|GEM320941 |£8.00|"Pretty and a fabulously feminine cover-up, this beautiful floral crochet kimono is a stylish must-have. This year-round piece is perfect for acing that on-trend layered look.

•  Open front
•  Cropped sleeve"|8-10, 12-14, 16-18,20-23|4.5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054240693473|Embellished Peter Pan Collar Blouse|GEM320656 |£8.00|"Incredibly stylish and sweet, this embellished Peter Pan collar blouse is a beautiful must-have this season. Whether you’re heading to work or out with friends, the sweet embellishment and trendy collar are sure to have you turning heads at all events. 

•  Back keyhole fastening 
•  Sleeveless
•  Dipped hem
•  Darting to the bust"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054240693343|Embellished Peter Pan Collar Blouse|GEM320655 |£5.00|"Incredibly stylish and sweet, this embellished Peter Pan collar blouse is a beautiful must-have this season. Whether you’re heading to work or out with friends, the sweet embellishment and trendy collar are sure to have you turning heads at all events. 

•  Back keyhole fastening 
•  Sleeveless
•  Dipped hem
•  Darting to the bust"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054240693213|Embellished Peter Pan Collar Blouse|GEM320654|£5.00|"Incredibly stylish and sweet, this embellished Peter Pan collar blouse is a beautiful must-have this season. Whether you’re heading to work or out with friends, the sweet embellishment and trendy collar are sure to have you turning heads at all events. 

•  Back keyhole fastening 
•  Sleeveless
•  Dipped hem
•  Darting to the bust"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054390436012|Floral Vest|GEM319356 |£5.00|"Ace that work-to-weekend style with this gorgeous floral vest. This sophisticated and bold piece will have you turning heads at all events, while the versatile design will take you effortlessly from casual to formal time and again this season. 

•  V-neck"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054390435664|V-neck Vest|GEM319301 |£5.00|A fabulous new staple, this V-neck vest is a great addition to your wardrobe this season. This versatile piece can take you from the boardroom to the dance floor
 and will ensure you look fabulous at all times.|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054240989200|Floral Print Sleeveless Vest|GEM319097 |£3.00|"The peplum reigns supreme this season, and it's not hard to see why - it's easy, stylish and designed to flatter every figure. This sleeveless vest is the chicest way to wear it, and will look great from smart days in the office to nights out. 

•  Sleeveless
•  Peplum hem"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
