Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
||4|5054240646646|Boston Crew Shirt|GEM311551 |£10.00|"Make a dapper addition to your wardrobe with this Boston Crew shirt. This versatile 100% cotton piece is a great investment that will take you from work to the weekend in style and comfort this season. 

•  Single chest pocket
•  Long sleeve
•  Button through fastening

Our Boston Crew collection offers a stylish selection of chinos, jeans and shorts to coordinate with understated shirts, t-shirts, knitwear and jackets, with a level of detailing you'd expect from a premium label."|S,M,L,XL,XXL,XXXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054240646523|Boston Crew Oxford Shirt|GEM311540 |£10.00|"Give your casual wardrobe a formal spin with this stylish Boston Crew Oxford shirt. Ideal for giving your outfits a suave touch, this 100% cotton piece will keep you comfy and on-trend this season.

•  Single chest pocket
•  Button through fastening

Our Boston Crew collection offers a stylish selection of chinos, jeans and shorts to coordinate with understated shirts, t-shirts, knitwear and jackets, with a level of detailing you'd expect from a premium label."|S,M,L,XL,XXL,XXXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054240646288|Boston Crew Oxford Shirt|GEM311539|£10.00|"Every wardrobe needs an Oxford shirt, and this version from Boston Crew is a modern classic. Made from 100% cotton, it's finished with a button-down collar and smart chest pocket. 

•  Button through fastening

Our Boston Crew collection offers a stylish selection of chinos, jeans and shorts to coordinate with understated shirts, t-shirts, knitwear and jackets, with a level of detailing you'd expect from a premium label."|S,M,L,XL,XXL,XXXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054240337926|Boston Crew Fine Stripe Shirt|GEM311514|£14.00|"Boston Crew has created the shirt every man needs in his formal wardrobe with this fine stripe shirt. The ideal piece for completing your looks with a touch of colour and character, you’ll be wearing this shirt for all events this season. 

•  Long sleeve
•  Button through fastening 

Our Boston Crew collection offers a stylish selection of chinos, jeans and shorts to coordinate with understated shirts, t-shirts, knitwear and jackets, with a level of detailing you'd expect from a premium label."|S,M,L,XL,XXL,XXXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054240293062|Boston Crew Check Shirt|GEM311493 |£10.00|"Check shirts are a time-enduring style that are always on-trend and with this Boston Crew piece you’ll be acing that laidback look. Created using 100% cotton, you’ll love completing your outfits with this comfy shirt.

•  Button through fastening
•  Single chest pocket
•  Long sleeve

Our Boston Crew collection offers a stylish selection of chinos, jeans and shorts to coordinate with understated shirts, t-shirts, knitwear and jackets, with a level of detailing you'd expect from a premium label."|S,M,L,XL,XXL,XXXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054240438890|Tailor & Cutter Check and Plain Shirt and Tie Set|GEM311478 |£16.00|"Bulk up your formal wardrobe with this great Tailor & Cutter check and plain shirt and tie set. With various designs, you’ll be able to mix and match this 3 piece set whether you’re heading to work or on a night out with friends.

•  Long sleeve
•  Button through fastening"|"14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054240438890|Tailor & Cutter Check and Plain Shirt and Tie Set|GEM311478 |£16.00|"Bulk up your formal wardrobe with this great Tailor & Cutter check and plain shirt and tie set. With various designs, you’ll be able to mix and match this 3 piece set whether you’re heading to work or on a night out with friends.

•  Long sleeve
•  Button through fastening"|"14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
|Suits|1|5054240445553|Tailor & Cutter Check Shirt and Tie Set|GEM311280 |£10.00|"Step up your formal style with this suave Tailor & Cutter check shirt and tie set. The ultimate work-to-weekend set, you’ll be mixing and matching them time and again.

•  Button through fastening
•  Long sleeve"|"14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||2|5054240457471|Tailor & Cutter Slim Fit Trousers|GEM310196|£15.00|"Step-up your smart style this season with these great Tailor & Cutter slim fit trousers. Tailored to be your versatile go-to from work to the weekend, these trousers have been crafted using light and comfortable fabric. 

•  Button and zip fly fastening
•  Twin front and back pockets"|"30 Short 32 Short 34 Short 36 Short 38 Short 40 Short 42 Short 44 Short 46 Short 28 Regular 30 Regular 32 Regular 34 Regular 36 Regular 38 Regular 40 Regular 42 Regular 44 Regular 46 Regular 30 Long 32 Long 34 Long 36 Long 38 Long 40 Long 42 Long 44 Long 46 Long"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054240456924|Tailor & Cutter Suit Trousers|GEM310195 |£15.00|"Invest in a smart new staple with these Tailor & Cutter suit trousers. Whether you’re heading to work or out with friends you’ll be looking suave in these polished trousers.

•  Hook and eye zip fly fastening
•  Twin front and back pocket"|"30 Short 32 Short 34 Short 36 Short 38 Short 40 Short 42 Short 44 Short 46 Short 28 Regular 30 Regular 32 Regular 34 Regular 36 Regular 38 Regular 40 Regular 42 Regular 44 Regular 46 Regular 30 Long 32 Long 34 Long 36 Long 38 Long 40 Long 42 Long 44 Long 46 Long"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054240456405|Tailor & Cutter Suit Jacket|GEM310195 |£35.00|"Step up your style this season with this smart Tailor & Cutter suit jacket. Ideal for completing your formal looks, you’ll be polishing up instantly with this new staple.

•  Button fastening
•  2 inner pockets"|"36 Short 38 Short 40 Short 42 Short 44 Short 46 Short 36 Regular 38 Regular 40 Regular 42 Regular 44 Regular 46 Regular 48 Regular 48 Regular 36 Long 38 Long 40 Long 42 Long 44 Long 46 Long 48 Long"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054240456122|Tailor & Cutter Herringbone Suit Jacket|GEM310193|£35.00|"You'll always look your dapper best with this herringbone blazer from Tailor & Cutter. The textured fabric gives this piece a gentlemanly, timeless air that's perfect for events and days in the office alike. 

•  Button fastening 
•  Mock front pockets 
•  Inner compartments"|"36 Short 38 Short 40 Short 42 Short 44 Short 46 Short 36 Regular 38 Regular 40 Regular 42 Regular 44 Regular 46 Regular 48 Regular 48 Regular 36 Long 38 Long 40 Long 42 Long 44 Long 46 Long 48 Long"|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054240455910|Tailor & Cutter Suit Jacket|GEM310192 |£35.00|"Smart and stylish, this Tailor & Cutter suit jacket is a great addition to your wardrobe. Perfect for a adding a classic twist to your formal outfits, this piece will see you through work to the weekend again and again.

•  3 front mock pockets
•  3 Inner pockets
•  Button fastening"|"36 Short 38 Short 40 Short 42 Short 44 Short 46 Short 36 Regular 38 Regular 40 Regular 42 Regular 44 Regular 46 Regular 48 Regular 48 Regular 36 Long 38 Long 40 Long 42 Long 44 Long 46 Long 48 Long"|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054240455705|Tailor & Cutter Slim Fit Suit Jacket|GEM310191 |£35.00|"Transform your formal wardrobe with this super-smart Tailor & Cutter slim fit suit jacket. With a classic tailored aesthetic, this piece is perfect for completing your polished looks with a dapper twist.

•  3 mock front pockets
•  3 inner pockets
•  Button fastening"|"36 Short 38 Short 40 Short 42 Short 44 Short 46 Short 36 Regular 38 Regular 40 Regular 42 Regular 44 Regular 46 Regular 48 Regular 48 Regular 36 Long 38 Long 40 Long 42 Long 44 Long 46 Long 48 Long"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
